region,category,product,price,unit
Калужская область,Птицеводство,Мясо птицы,220.0,руб/кг
Калужская область,Овцеводство,Баранина,650.0,руб/кг
Калужская область,Птицеводство,Яйца,9.0,руб/шт
Калужская область,Пчеловодство,Мёд,450.0,руб/кг
Костромская область,Молочное животноводство,Молоко,45.0,руб/л
Костромская область,Молочное животноводство,Козье молоко,85.0,руб/л
Костромская область,Мясное животноводство,Говядина,420.0,руб/кг
Костромская область,Мясное животноводство,Свинина,290.0,руб/кг
Костромская область,Птицеводство,Мясо птицы,220.0,руб/кг
Костромская область,Овцеводство,Баранина,650.0,руб/кг
Костромская область,Птицеводство,Яйца,9.0,руб/шт
Костромская область,Пчеловодство,Мёд,450.0,руб/кг
Курская область,Молочное животноводство,Молоко,45.0,руб/л
Курская область,Молочное животноводство,Козье молоко,85.0,руб/л
Курская область,Мясное животноводство,Говядина,420.0,руб/кг
Курская область,Мясное животноводство,Свинина,290.0,руб/кг
Курская область,Птицеводство,Мясо птицы,220.0,руб/кг
Курская область,Овцеводство,Баранина,650.0,руб/кг
Курская область,Птицеводство,Яйца,9.0,руб/шт
Курская область,Пчеловодство,Мёд,450.0,руб/кг
Липецкая область,Молочное животноводство,Молоко,45.0,руб/л
Липецкая область,Молочное животноводство,Козье молоко,85.0,руб/л
Липецкая область,Мясное животноводство,Говядина,420.0,руб/кг
Липецкая область,Мясное животноводство,Свинина,290.0,руб/кг
Липецкая область,Птицеводство,Мясо птицы,220.0,руб/кг
Липецкая область,Овцеводство,Баранина,650.0,руб/кг
Липецкая область,Птицеводство,Яйца,9.0,руб/шт
Липецкая область,Пчеловодство,Мёд,450.0,руб/кг
Московская область,Молочное животноводство,Молоко,45.0,руб/л
Московская область,Молочное животноводство,Козье молоко,85.0,руб/л
Московская область,Мясное животноводство,Говядина,420.0,руб/кг
Московская область,Мясное животноводство,Свинина,290.0,руб/кг
Московская область,Птицеводство,Мясо птицы,220.0,руб/кг
Московская область,Овцеводство,Баранина,650.0,руб/кг
Московская область,Птицеводство,Яйца,9.0,руб/шт
Московская область,Пчеловодство,Мёд,450.0,руб/кг
Орловская область,Молочное животноводство,Молоко,45.0,руб/л
Орловская область,Молочное животноводство,Козье молоко,85.0,руб/л
Орловская область,Мясное животноводство,Говядина,420.0,руб/кг
Орловская область,Мясное животноводство,Свинина,290.0,руб/кг
Орловская область,Птицеводство,Мясо птицы,220.0,руб/кг
Орловская область,Овцеводство,Баранина,650.0,руб/кг
Орловская область,Птицеводство,Яйца,9.0,руб/шт
Орловская область,Пчеловодство,Мёд,450.0,руб/кг
Рязанская область,Молочное животноводство,Молоко,45.0,руб/л
Рязанская область,Молочное животноводство,Козье молоко,85.0,руб/л
Рязанская область,Мясное животноводство,Говядина,420.0,руб/кг
Рязанская область,Мясное животноводство,Свинина,290.0,руб/кг
Рязанская область,Птицеводство,Мясо птицы,220.0,руб/кг
Рязанская область,Овцеводство,Баранина,650.0,руб/кг
Рязанская область,Птицеводство,Яйца,9.0,руб/шт
Рязанская область,Пчеловодство,Мёд,450.0,руб/кг
Смоленская область,Молочное животноводство,Молоко,45.0,руб/л
Смоленская область,Молочное животноводство,Козье молоко,85.0,руб/л
Смоленская область,Мясное животноводство,Говядина,420.0,руб/кг
Смоленская область,Мясное животноводство,Свинина,290.0,руб/кг
Смоленская область,Птицеводство,Мясо птицы,220.0,руб/кг
Смоленская область,Овцеводство,Баранина,650.0,руб/кг
Смоленская область,Птицеводство,Яйца,9.0,руб/шт
Смоленская область,Пчеловодство,Мёд,450.0,руб/кг
Тамбовская область,Молочное животноводство,Молоко,45.0,руб/л
Тамбовская область,Молочное животноводство,Козье молоко,85.0,руб/л
Тамбовская область,Мясное животноводство,Говядина,420.0,руб/кг
Тамбовская область,Мясное животноводство,Свинина,290.0,руб/кг
Тамбовская область,Птицеводство,Мясо птицы,220.0,руб/кг
Тамбовская область,Овцеводство,Баранина,650.0,руб/кг
Тамбовская область,Птицеводство,Яйца,9.0,руб/шт
Тамбовская область,Пчеловодство,Мёд,450.0,руб/кг
Тверская область,Молочное животноводство,Молоко,45.0,руб/л
Тверская область,Молочное животноводство,Козье молоко,85.0,руб/л
Тверская область,Мясное животноводство,Говядина,420.0,руб/кг
Тверская область,Мясное животноводство,Свинина,290.0,руб/кг
Тверская область,Птицеводство,Мясо птицы,220.0,руб/кг
Тверская область,Овцеводство,Баранина,650.0,руб/кг
Тверская область,Птицеводство,Яйца,9.0,руб/шт
Тверская область,Пчеловодство,Мёд,450.0,руб/кг
Тульская область,Молочное животноводство,Молоко,45.0,руб/л
Тульская область,Молочное животноводство,Козье молоко,85.0,руб/л
Тульская область,Мясное животноводство,Говядина,420.0,руб/кг
Тульская область,Мясное животноводство,Свинина,290.0,руб/кг
Тульская область,Птицеводство,Мясо птицы,220.0,руб/кг
Тульская область,Овцеводство,Баранина,650.0,руб/кг
Тульская область,Птицеводство,Яйца,9.0,руб/шт
Тульская область,Пчеловодство,Мёд,450.0,руб/кг
Ярославская область,Молочное животноводство,Молоко,45.0,руб/л
Ярославская область,Молочное животноводство,Козье молоко,85.0,руб/л
Ярославская область,Мясное животноводство,Говядина,420.0,руб/кг
Ярославская область,Мясное животноводство,Свинина,290.0,руб/кг
Ярославская область,Птицеводство,Мясо птицы,220.0,руб/кг
Ярославская область,Овцеводство,Баранина,650.0,руб/кг
Ярославская область,Птицеводство,Яйца,9.0,руб/шт
Ярославская область,Пчеловодство,Мёд,450.0,руб/кг
Москва,Молочное животноводство,Молоко,45.0,руб/л
Москва,Молочное животноводство,Козье молоко,85.0,руб/л
Москва,Мясное животноводство,Говядина,420.0,руб/кг
Москва,Мясное животноводство,Свинина,290.0,руб/кг
Москва,Птицеводство,Мясо птицы,220.0,руб/кг
Москва,Овцеводство,Баранина,650.0,руб/кг
Москва,Птицеводство,Яйца,9.0,руб/шт
Москва,Пчеловодство,Мёд,450.0,руб/кг
Архангельская область,Молочное животноводство,Молоко,50.4,руб/л
Архангельская область,Молочное животноводство,Козье молоко,95.2,руб/л
Архангельская область,Мясное животноводство,Говядина,470.4,руб/кг
Архангельская область,Мясное животноводство,Свинина,324.8,руб/кг
Архангельская область,Птицеводство,Мясо птицы,246.4,руб/кг
Архангельская область,Овцеводство,Баранина,728.0,руб/кг
Архангельская область,Птицеводство,Яйца,10.08,руб/шт
Архангельская область,Пчеловодство,Мёд,504.0,руб/кг
Вологодская область,Молочное животноводство,Молоко,50.4,руб/л
Вологодская область,Молочное животноводство,Козье молоко,95.2,руб/л
Вологодская область,Мясное животноводство,Говядина,470.4,руб/кг
Вологодская область,Мясное животноводство,Свинина,324.8,руб/кг
Вологодская область,Птицеводство,Мясо птицы,246.4,руб/кг
Вологодская область,Овцеводство,Баранина,728.0,руб/кг
Вологодская область,Птицеводство,Яйца,10.08,руб/шт
Вологодская область,Пчеловодство,Мёд,504.0,руб/кг
Калининградская область,Молочное животноводство,Молоко,50.4,руб/л
Калининградская область,Молочное животноводство,Козье молоко,95.2,руб/л
Калининградская область,Мясное животноводство,Говядина,470.4,руб/кг
Калининградская область,Мясное животноводство,Свинина,324.8,руб/кг
Калининградская область,Птицеводство,Мясо птицы,246.4,руб/кг
Калининградская область,Овцеводство,Баранина,728.0,руб/кг
Калининградская область,Птицеводство,Яйца,10.08,руб/шт
Калининградская область,Пчеловодство,Мёд,504.0,руб/кг
Ленинградская область,Молочное животноводство,Молоко,50.4,руб/л
Ленинградская область,Молочное животноводство,Козье молоко,95.2,руб/л
Ленинградская область,Мясное животноводство,Говядина,470.4,руб/кг
Ленинградская область,Мясное животноводство,Свинина,324.8,руб/кг
Ленинградская область,Птицеводство,Мясо птицы,246.4,руб/кг
Ленинградская область,Овцеводство,Баранина,728.0,руб/кг
Ленинградская область,Птицеводство,Яйца,10.08,руб/шт
Ленинградская область,Пчеловодство,Мёд,504.0,руб/кг
Мурманская область,Молочное животноводство,Молоко,50.4,руб/л
Мурманская область,Молочное животноводство,Козье молоко,95.2,руб/л
Мурманская область,Мясное животноводство,Говядина,470.4,руб/кг
Мурманская область,Мясное животноводство,Свинина,324.8,руб/кг
Мурманская область,Птицеводство,Мясо птицы,246.4,руб/кг
Мурманская область,Овцеводство,Баранина,728.0,руб/кг
Мурманская область,Птицеводство,Яйца,10.08,руб/шт
Мурманская область,Пчеловодство,Мёд,504.0,руб/кг
Новгородская область,Молочное животноводство,Молоко,50.4,руб/л
Новгородская область,Молочное животноводство,Козье молоко,95.2,руб/л
Новгородская область,Мясное животноводство,Говядина,470.4,руб/кг
Новгородская область,Мясное животноводство,Свинина,324.8,руб/кг
Новгородская область,Птицеводство,Мясо птицы,246.4,руб/кг
Новгородская область,Овцеводство,Баранина,728.0,руб/кг
Новгородская область,Птицеводство,Яйца,10.08,руб/шт
Новгородская область,Пчеловодство,Мёд,504.0,руб/кг
Псковская область,Молочное животноводство,Молоко,50.4,руб/л
Псковская область,Молочное животноводство,Козье молоко,95.2,руб/л
Псковская область,Мясное животноводство,Говядина,470.4,руб/кг
Псковская область,Мясное животноводство,Свинина,324.8,руб/кг
Псковская область,Птицеводство,Мясо птицы,246.4,руб/кг
Псковская область,Овцеводство,Баранина,728.0,руб/кг
Псковская область,Птицеводство,Яйца,10.08,руб/шт
Псковская область,Пчеловодство,Мёд,504.0,руб/кг
Республика Карелия,Молочное животноводство,Молоко,50.4,руб/л
Республика Карелия,Молочное животноводство,Козье молоко,95.2,руб/л
Республика Карелия,Мясное животноводство,Говядина,470.4,руб/кг
Республика Карелия,Мясное животноводство,Свинина,324.8,руб/кг
Республика Карелия,Птицеводство,Мясо птицы,246.4,руб/кг
Республика Карелия,Овцеводство,Баранина,728.0,руб/кг
Республика Карелия,Птицеводство,Яйца,10.08,руб/шт
Республика Карелия,Пчеловодство,Мёд,504.0,руб/кг
Республика Коми,Молочное животноводство,Молоко,50.4,руб/л
Республика Коми,Молочное животноводство,Козье молоко,95.2,руб/л
Республика Коми,Мясное животноводство,Говядина,470.4,руб/кг
Республика Коми,Мясное животноводство,Свинина,324.8,руб/кг
Республика Коми,Птицеводство,Мясо птицы,246.4,руб/кг
Республика Коми,Овцеводство,Баранина,728.0,руб/кг
Республика Коми,Птицеводство,Яйца,10.08,руб/шт
Республика Коми,Пчеловодство,Мёд,504.0,руб/кг
Ненецкий автономный округ,Молочное животноводство,Молоко,50.4,руб/л
Ненецкий автономный округ,Молочное животноводство,Козье молоко,95.2,руб/л
Ненецкий автономный округ,Мясное животноводство,Говядина,470.4,руб/кг
Ненецкий автономный округ,Мясное животноводство,Свинина,324.8,руб/кг
Ненецкий автономный округ,Птицеводство,Мясо птицы,246.4,руб/кг
Ненецкий автономный округ,Овцеводство,Баранина,728.0,руб/кг
Ненецкий автономный округ,Птицеводство,Яйца,10.08,руб/шт
Ненецкий автономный округ,Пчеловодство,Мёд,504.0,руб/кг
Санкт-Петербург,Молочное животноводство,Молоко,50.4,руб/л
Санкт-Петербург,Молочное животноводство,Козье молоко,95.2,руб/л
Санкт-Петербург,Мясное животноводство,Говядина,470.4,руб/кг
Санкт-Петербург,Мясное животноводство,Свинина,324.8,руб/кг
Санкт-Петербург,Птицеводство,Мясо птицы,246.4,руб/кг
Санкт-Петербург,Овцеводство,Баранина,728.0,руб/кг
Санкт-Петербург,Птицеводство,Яйца,10.08,руб/шт
Санкт-Петербург,Пчеловодство,Мёд,504.0,руб/кг
Астраханская область,Молочное животноводство,Молоко,42.75,руб/л
Астраханская область,Молочное животноводство,Козье молоко,80.75,руб/л
Астраханская область,Мясное животноводство,Говядина,399.0,руб/кг
Астраханская область,Мясное животноводство,Свинина,275.5,руб/кг
Астраханская область,Птицеводство,Мясо птицы,209.0,руб/кг
Астраханская область,Овцеводство,Баранина,617.5,руб/кг
Астраханская область,Птицеводство,Яйца,8.55,руб/шт
Астраханская область,Пчеловодство,Мёд,427.5,руб/кг
Волгоградская область,Молочное животноводство,Молоко,42.75,руб/л
Волгоградская область,Молочное животноводство,Козье молоко,80.75,руб/л
Волгоградская область,Мясное животноводство,Говядина,399.0,руб/кг
Волгоградская область,Мясное животноводство,Свинина,275.5,руб/кг
Волгоградская область,Птицеводство,Мясо птицы,209.0,руб/кг
Волгоградская область,Овцеводство,Баранина,617.5,руб/кг
Волгоградская область,Птицеводство,Яйца,8.55,руб/шт
Волгоградская область,Пчеловодство,Мёд,427.5,руб/кг
Ростовская область,Молочное животноводство,Молоко,42.75,руб/л
Ростовская область,Молочное животноводство,Козье молоко,80.75,руб/л
Ростовская область,Мясное животноводство,Говядина,399.0,руб/кг
Ростовская область,Мясное животноводство,Свинина,275.5,руб/кг
Ростовская область,Птицеводство,Мясо птицы,209.0,руб/кг
Ростовская область,Овцеводство,Баранина,617.5,руб/кг
Ростовская область,Птицеводство,Яйца,8.55,руб/шт
Ростовская область,Пчеловодство,Мёд,427.5,руб/кг
Краснодарский край,Молочное животноводство,Молоко,42.75,руб/л
Краснодарский край,Молочное животноводство,Козье молоко,80.75,руб/л
Краснодарский край,Мясное животноводство,Говядина,399.0,руб/кг
Краснодарский край,Мясное животноводство,Свинина,275.5,руб/кг
Краснодарский край,Птицеводство,Мясо птицы,209.0,руб/кг
Краснодарский край,Овцеводство,Баранина,617.5,руб/кг
Краснодарский край,Птицеводство,Яйца,8.55,руб/шт
Краснодарский край,Пчеловодство,Мёд,427.5,руб/кг
Республика Адыгея,Молочное животноводство,Молоко,42.75,руб/л
Республика Адыгея,Молочное животноводство,Козье молоко,80.75,руб/л
Республика Адыгея,Мясное животноводство,Говядина,399.0,руб/кг
Республика Адыгея,Мясное животноводство,Свинина,275.5,руб/кг
Республика Адыгея,Птицеводство,Мясо птицы,209.0,руб/кг
Республика Адыгея,Овцеводство,Баранина,617.5,руб/кг
Республика Адыгея,Птицеводство,Яйца,8.55,руб/шт
Республика Адыгея,Пчеловодство,Мёд,427.5,руб/кг
Республика Калмыкия,Молочное животноводство,Молоко,42.75,руб/л
Республика Калмыкия,Молочное животноводство,Козье молоко,80.75,руб/л
Республика Калмыкия,Мясное животноводство,Говядина,399.0,руб/кг
Республика Калмыкия,Мясное животноводство,Свинина,275.5,руб/кг
Республика Калмыкия,Птицеводство,Мясо птицы,209.0,руб/кг
Республика Калмыкия,Овцеводство,Баранина,617.5,руб/кг
Республика Калмыкия,Птицеводство,Яйца,8.55,руб/шт
Республика Калмыкия,Пчеловодство,Мёд,427.5,руб/кг
Республика Крым,Молочное животноводство,Молоко,42.75,руб/л
Республика Крым,Молочное животноводство,Козье молоко,80.75,руб/л
Республика Крым,Мясное животноводство,Говядина,399.0,руб/кг
Республика Крым,Мясное животноводство,Свинина,275.5,руб/кг
Республика Крым,Птицеводство,Мясо птицы,209.0,руб/кг
Республика Крым,Овцеводство,Баранина,617.5,руб/кг
Республика Крым,Птицеводство,Яйца,8.55,руб/шт
Республика Крым,Пчеловодство,Мёд,427.5,руб/кг
Севастополь,Молочное животноводство,Молоко,42.75,руб/л
Севастополь,Молочное животноводство,Козье молоко,80.75,руб/л
Севастополь,Мясное животноводство,Говядина,399.0,руб/кг
Севастополь,Мясное животноводство,Свинина,275.5,руб/кг
Севастополь,Птицеводство,Мясо птицы,209.0,руб/кг
Севастополь,Овцеводство,Баранина,617.5,руб/кг
Севастополь,Птицеводство,Яйца,8.55,руб/шт
Севастополь,Пчеловодство,Мёд,427.5,руб/кг
Республика Дагестан,Молочное животноводство,Молоко,41.4,руб/л
Республика Дагестан,Молочное животноводство,Козье молоко,78.2,руб/л
Республика Дагестан,Мясное животноводство,Говядина,386.4,руб/кг
Республика Дагестан,Мясное животноводство,Свинина,266.8,руб/кг
Республика Дагестан,Птицеводство,Мясо птицы,202.4,руб/кг
Республика Дагестан,Овцеводство,Баранина,598.0,руб/кг
Республика Дагестан,Птицеводство,Яйца,8.28,руб/шт
Республика Дагестан,Пчеловодство,Мёд,414.0,руб/кг
Республика Ингушетия,Молочное животноводство,Молоко,41.4,руб/л
Республика Ингушетия,Молочное животноводство,Козье молоко,78.2,руб/л
Республика Ингушетия,Мясное животноводство,Говядина,386.4,руб/кг
Республика Ингушетия,Мясное животноводство,Свинина,266.8,руб/кг
Республика Ингушетия,Птицеводство,Мясо птицы,202.4,руб/кг
Республика Ингушетия,Овцеводство,Баранина,598.0,руб/кг
Республика Ингушетия,Птицеводство,Яйца,8.28,руб/шт
Республика Ингушетия,Пчеловодство,Мёд,414.0,руб/кг
Кабардино-Балкарская Республика,Молочное животноводство,Молоко,41.4,руб/л
Кабардино-Балкарская Республика,Молочное животноводство,Козье молоко,78.2,руб/л
Кабардино-Балкарская Республика,Мясное животноводство,Говядина,386.4,руб/кг
Кабардино-Балкарская Республика,Мясное животноводство,Свинина,266.8,руб/кг
Кабардино-Балкарская Республика,Птицеводство,Мясо птицы,202.4,руб/кг
Кабардино-Балкарская Республика,Овцеводство,Баранина,598.0,руб/кг
Кабардино-Балкарская Республика,Птицеводство,Яйца,8.28,руб/шт
Кабардино-Балкарская Республика,Пчеловодство,Мёд,414.0,руб/кг
Карачаево-Черкесская Республика,Молочное животноводство,Молоко,41.4,руб/л
Карачаево-Черкесская Республика,Молочное животноводство,Козье молоко,78.2,руб/л
Карачаево-Черкесская Республика,Мясное животноводство,Говядина,386.4,руб/кг
Карачаево-Черкесская Республика,Мясное животноводство,Свинина,266.8,руб/кг
Карачаево-Черкесская Республика,Птицеводство,Мясо птицы,202.4,руб/кг
Карачаево-Черкесская Республика,Овцеводство,Баранина,598.0,руб/кг
Карачаево-Черкесская Республика,Птицеводство,Яйца,8.28,руб/шт
Карачаево-Черкесская Республика,Пчеловодство,Мёд,414.0,руб/кг
Республика Северная Осетия — Алания,Молочное животноводство,Молоко,41.4,руб/л
Республика Северная Осетия — Алания,Молочное животноводство,Козье молоко,78.2,руб/л
Республика Северная Осетия — Алания,Мясное животноводство,Говядина,386.4,руб/кг
Республика Северная Осетия — Алания,Мясное животноводство,Свинина,266.8,руб/кг
Республика Северная Осетия — Алания,Птицеводство,Мясо птицы,202.4,руб/кг
Республика Северная Осетия — Алания,Овцеводство,Баранина,598.0,руб/кг
Республика Северная Осетия — Алания,Птицеводство,Яйца,8.28,руб/шт
Республика Северная Осетия — Алания,Пчеловодство,Мёд,414.0,руб/кг
Чеченская Республика,Молочное животноводство,Молоко,41.4,руб/л
Чеченская Республика,Молочное животноводство,Козье молоко,78.2,руб/л
Чеченская Республика,Мясное животноводство,Говядина,386.4,руб/кг
Чеченская Республика,Мясное животноводство,Свинина,266.8,руб/кг
Чеченская Республика,Птицеводство,Мясо птицы,202.4,руб/кг
Чеченская Республика,Овцеводство,Баранина,598.0,руб/кг
Чеченская Республика,Птицеводство,Яйца,8.28,руб/шт
Чеченская Республика,Пчеловодство,Мёд,414.0,руб/кг
Ставропольский край,Молочное животноводство,Молоко,41.4,руб/л
Ставропольский край,Молочное животноводство,Козье молоко,78.2,руб/л
Ставропольский край,Мясное животноводство,Говядина,386.4,руб/кг
Ставропольский край,Мясное животноводство,Свинина,266.8,руб/кг
Ставропольский край,Птицеводство,Мясо птицы,202.4,руб/кг
Ставропольский край,Овцеводство,Баранина,598.0,руб/кг
Ставропольский край,Птицеводство,Яйца,8.28,руб/шт
Ставропольский край,Пчеловодство,Мёд,414.0,руб/кг
Республика Башкортостан,Молочное животноводство,Молоко,44.1,руб/л
Республика Башкортостан,Молочное животноводство,Козье молоко,83.3,руб/л
Республика Башкортостан,Мясное животноводство,Говядина,411.6,руб/кг
Республика Башкортостан,Мясное животноводство,Свинина,284.2,руб/кг
Республика Башкортостан,Птицеводство,Мясо птицы,215.6,руб/кг
Республика Башкортостан,Овцеводство,Баранина,637.0,руб/кг
Республика Башкортостан,Птицеводство,Яйца,8.82,руб/шт
Республика Башкортостан,Пчеловодство,Мёд,441.0,руб/кг
Республика Марий Эл,Молочное животноводство,Молоко,44.1,руб/л
Республика Марий Эл,Молочное животноводство,Козье молоко,83.3,руб/л
Республика Марий Эл,Мясное животноводство,Говядина,411.6,руб/кг
Республика Марий Эл,Мясное животноводство,Свинина,284.2,руб/кг
Республика Марий Эл,Птицеводство,Мясо птицы,215.6,руб/кг
Республика Марий Эл,Овцеводство,Баранина,637.0,руб/кг
Республика Марий Эл,Птицеводство,Яйца,8.82,руб/шт
Республика Марий Эл,Пчеловодство,Мёд,441.0,руб/кг
Республика Мордовия,Молочное животноводство,Молоко,44.1,руб/л
Республика Мордовия,Молочное животноводство,Козье молоко,83.3,руб/л
Республика Мордовия,Мясное животноводство,Говядина,411.6,руб/кг
Республика Мордовия,Мясное животноводство,Свинина,284.2,руб/кг
Республика Мордовия,Птицеводство,Мясо птицы,215.6,руб/кг
Республика Мордовия,Овцеводство,Баранина,637.0,руб/кг
Республика Мордовия,Птицеводство,Яйца,8.82,руб/шт
Республика Мордовия,Пчеловодство,Мёд,441.0,руб/кг
Республика Татарстан,Молочное животноводство,Молоко,44.1,руб/л
Республика Татарстан,Молочное животноводство,Козье молоко,83.3,руб/л
Республика Татарстан,Мясное животноводство,Говядина,411.6,руб/кг
Республика Татарстан,Мясное животноводство,Свинина,284.2,руб/кг
Республика Татарстан,Птицеводство,Мясо птицы,215.6,руб/кг
Республика Татарстан,Овцеводство,Баранина,637.0,руб/кг
Республика Татарстан,Птицеводство,Яйца,8.82,руб/шт
Республика Татарстан,Пчеловодство,Мёд,441.0,руб/кг
Удмуртская Республика,Молочное животноводство,Молоко,44.1,руб/л
Удмуртская Республика,Молочное животноводство,Козье молоко,83.3,руб/л
Удмуртская Республика,Мясное животноводство,Говядина,411.6,руб/кг
Удмуртская Республика,Мясное животноводство,Свинина,284.2,руб/кг
Удмуртская Республика,Птицеводство,Мясо птицы,215.6,руб/кг
Удмуртская Республика,Овцеводство,Баранина,637.0,руб/кг
Удмуртская Республика,Птицеводство,Яйца,8.82,руб/шт
Удмуртская Республика,Пчеловодство,Мёд,441.0,руб/кг
Чувашская Республика,Молочное животноводство,Молоко,44.1,руб/л
Чувашская Республика,Молочное животноводство,Козье молоко,83.3,руб/л
Чувашская Республика,Мясное животноводство,Говядина,411.6,руб/кг
Чувашская Республика,Мясное животноводство,Свинина,284.2,руб/кг
Чувашская Республика,Птицеводство,Мясо птицы,215.6,руб/кг
Чувашская Республика,Овцеводство,Баранина,637.0,руб/кг
Чувашская Республика,Птицеводство,Яйца,8.82,руб/шт
Чувашская Республика,Пчеловодство,Мёд,441.0,руб/кг
Кировская область,Молочное животноводство,Молоко,44.1,руб/л
Кировская область,Молочное животноводство,Козье молоко,83.3,руб/л
Кировская область,Мясное животноводство,Говядина,411.6,руб/кг
Кировская область,Мясное животноводство,Свинина,284.2,руб/кг
Кировская область,Птицеводство,Мясо птицы,215.6,руб/кг
Кировская область,Овцеводство,Баранина,637.0,руб/кг
Кировская область,Птицеводство,Яйца,8.82,руб/шт
Кировская область,Пчеловодство,Мёд,441.0,руб/кг
Нижегородская область,Молочное животноводство,Молоко,44.1,руб/л
Нижегородская область,Молочное животноводство,Козье молоко,83.3,руб/л
Нижегородская область,Мясное животноводство,Говядина,411.6,руб/кг
Нижегородская область,Мясное животноводство,Свинина,284.2,руб/кг
Нижегородская область,Птицеводство,Мясо птицы,215.6,руб/кг
Нижегородская область,Овцеводство,Баранина,637.0,руб/кг
Нижегородская область,Птицеводство,Яйца,8.82,руб/шт
Нижегородская область,Пчеловодство,Мёд,441.0,руб/кг
Оренбургская область,Молочное животноводство,Молоко,44.1,руб/л
Оренбургская область,Молочное животноводство,Козье молоко,83.3,руб/л
Оренбургская область,Мясное животноводство,Говядина,411.6,руб/кг
Оренбургская область,Мясное животноводство,Свинина,284.2,руб/кг
Оренбургская область,Птицеводство,Мясо птицы,215.6,руб/кг
Оренбургская область,Овцеводство,Баранина,637.0,руб/кг
Оренбургская область,Птицеводство,Яйца,8.82,руб/шт
Оренбургская область,Пчеловодство,Мёд,441.0,руб/кг
Пензенская область,Молочное животноводство,Молоко,44.1,руб/л
Пензенская область,Молочное животноводство,Козье молоко,83.3,руб/л
Пензенская область,Мясное животноводство,Говядина,411.6,руб/кг
Пензенская область,Мясное животноводство,Свинина,284.2,руб/кг
Пензенская область,Птицеводство,Мясо птицы,215.6,руб/кг
Пензенская область,Овцеводство,Баранина,637.0,руб/кг
Пензенская область,Птицеводство,Яйца,8.82,руб/шт
Пензенская область,Пчеловодство,Мёд,441.0,руб/кг
Пермский край,Молочное животноводство,Молоко,44.1,руб/л
Пермский край,Молочное животноводство,Козье молоко,83.3,руб/л
Пермский край,Мясное животноводство,Говядина,411.6,руб/кг
Пермский край,Мясное животноводство,Свинина,284.2,руб/кг
Пермский край,Птицеводство,Мясо птицы,215.6,руб/кг
Пермский край,Овцеводство,Баранина,637.0,руб/кг
Пермский край,Птицеводство,Яйца,8.82,руб/шт
Пермский край,Пчеловодство,Мёд,441.0,руб/кг
Самарская область,Молочное животноводство,Молоко,44.1,руб/л
Самарская область,Молочное животноводство,Козье молоко,83.3,руб/л
Самарская область,Мясное животноводство,Говядина,411.6,руб/кг
Самарская область,Мясное животноводство,Свинина,284.2,руб/кг
Самарская область,Птицеводство,Мясо птицы,215.6,руб/кг
